Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,deviation_factor,Number_of-units,cost,area,vert/hori_area_factor_z-axis,Avg_curvature_angle_z axis,vert/hori_area_factor_x-axis,Avarage curvatrure angle x axis,vert/hori_area_factor_y-axis,Avg_curvature_angle_y axis
-0.268938,-0.330972,-0.043288,-0.291212,-0.254606,-0.043534,0.08898,-0.225313,-0.330592,0.09557,95,365,17.57976,0.025753,81.990452,0.02214,19.365517,0.023835,24.825743
-0.246182,-0.323282,-0.013564,-0.266148,-0.251899,-0.016984,0.105336,-0.241165,-0.32618,0.095438,102,416,17.639668,0.045184,82.239706,0.005783,17.007477,None,24.304167
-0.225176,-0.319913,0.013869,-0.2421,-0.253925,0.010181,0.11986,-0.261642,-0.322206,0.092215,94,358,17.812199,0.021912,82.007692,0.015625,16.913278,0.003823,24.785477
-0.205825,-0.321598,0.039335,-0.218638,-0.261702,0.038783,0.132518,-0.288227,-0.318748,0.086187,91,369,18.124464,0.037408,80.226818,0.006997,18.386842,None,27.082174
-0.188204,-0.329107,0.062959,-0.195626,-0.276359,0.069437,0.143018,-0.32239,-0.315903,0.088742,102,431,18.619843,0.049998,78.125692,0.016878,19.091635,0.016784,30.764885
-0.173359,-0.341954,0.083735,-0.17443,-0.297213,0.100479,0.150705,-0.362407,-0.314029,0.096981,118,442,19.308433,0.039884,74.379612,0.014233,21.582965,0.002379,35.420625
-0.164974,-0.349854,0.095401,-0.162266,-0.309792,0.118371,0.154848,-0.386025,-0.313017,0.093029,128,465,19.763939,0.033988,73.043342,0.013492,20.908226,0.002062,38.298987
-0.146793,-0.314529,0.087457,-0.150196,-0.26889,0.107339,0.157348,-0.345562,-0.28854,0.097149,127,460,19.007477,0.037303,75.870874,0.006885,19.839623,0.004491,34.4025
-0.138787,-0.280477,0.080212,-0.149698,-0.224979,0.085425,0.162784,-0.292844,-0.276827,0.091411,92,380,18.216025,0.034596,79.830396,0.008577,18.801681,0.007083,27.053165
-0.128471,-0.248091,0.076869,-0.145789,-0.183387,0.067541,0.17049,-0.244936,-0.265706,0.089465,88,353,17.657984,0.035111,82.004741,0.00924,17.495851,None,23.778367
-0.116969,-0.218822,0.076814,-0.139482,-0.145895,0.053787,0.179607,-0.203402,-0.255747,0.086231,86,324,17.299148,0.03132,83.092638,0.043579,17.657669,None,22.531953
-0.105112,-0.19229,0.079283,-0.131989,-0.112247,0.043248,0.189278,-0.167384,-0.247037,0.083203,83,354,17.096264,0.035265,84.215,0.016363,17.916393,None,18.977005
-0.093621,-0.167873,0.084023,-0.124484,-0.082256,0.035303,0.1986,-0.136308,-0.23974,0.080703,91,357,17.003332,0.054393,84.904138,0.010736,16.444371,0.010154,18.122727
-0.083221,-0.144771,0.091351,-0.118215,-0.055992,0.029685,0.206508,-0.110079,-0.234175,0.08907,89,424,16.980355,0.096678,85.053191,0.007291,16.589032,0.011439,16.635669
-0.074698,-0.121911,0.102187,-0.114603,-0.033746,0.026444,0.21171,-0.08903,-0.230854,0.086941,85,397,16.995988,0.068235,85.121379,0.004731,16.555414,0.014551,16.624204
-0.068873,-0.097872,0.118024,-0.115232,-0.015887,0.02587,0.212741,-0.073734,-0.230453,0.08853,90,580,17.02203,0.062319,84.756774,0.016803,17.121951,0.006282,17.769512
-0.021778,-0.02998,0.193698,-0.080098,0.032832,0.059589,0.239218,-0.056177,-0.221167,0.083936,94,358,17.252471,0.049629,83.855556,0.006579,17.872189,0.006016,19.868824
-0.020196,0.006919,0.231174,-0.091586,0.045041,0.067946,0.229605,-0.052406,-0.228482,0.086323,84,331,17.293196,0.042442,83.462903,None,17.387817,0.016403,21.275258
-0.029348,0.045224,0.272888,-0.117513,0.04823,0.075895,0.208025,-0.056267,-0.243106,0.085411,96,535,17.295264,0.039388,83.182123,0.01056,18.063587,0.024865,22.504972
-0.043571,0.091446,0.3269,-0.153049,0.048035,0.08715,0.178726,-0.065488,-0.264173,0.085026,100,346,17.339719,0.034564,83.148241,0.009249,17.81122,0.011402,22.437624
-0.063261,0.146764,0.394615,-0.199073,0.045508,0.101238,0.141945,-0.078746,-0.292814,0.085329,88,644,17.475391,0.030458,82.573077,0.015617,18.979079,0.022594,23.354237
-0.089368,0.212357,0.477858,-0.257185,0.041395,0.117594,0.097593,-0.094878,-0.330787,0.088908,90,634,17.762668,0.021957,81.928223,0.017599,20.125862,0.001426,23.586735
-0.123117,0.289265,0.578692,-0.329287,0.036204,0.135653,0.04552,-0.112862,-0.380213,0.090334,101,391,18.277112,0.020846,80.261157,0.012247,22.081793,0.004097,25.937466
-0.163305,0.37359,0.69251,-0.412343,0.030566,0.153942,-0.011202,-0.130894,-0.43959,0.093124,116,409,19.037051,0.00504,77.596078,0.008715,25.026696,0.005148,29.713725
-0.188546,0.425774,0.763382,-0.464257,0.027265,0.165033,-0.046186,-0.141651,-0.477021,0.097241,122,459,19.598084,0.00605,76.360179,0.005928,26.207679,0.007114,30.604839
-0.161949,0.384889,0.701176,-0.415375,0.030364,0.159878,-0.020044,-0.136744,-0.43666,0.092914,116,422,19.112195,0.00643,77.526735,0.0066,24.66,0.009058,29.96319
-0.119027,0.319221,0.601174,-0.336675,0.035588,0.151655,0.022006,-0.128683,-0.371632,0.090705,108,399,18.423198,0.014113,79.692453,0.00808,22.129412,0.007875,27.1224
-0.081424,0.265807,0.517316,-0.269475,0.040251,0.146366,0.055647,-0.123318,-0.314454,0.092616,91,403,17.948336,0.020983,81.32259,0.032669,20.387425,0.013067,24.932143
-0.050874,0.225698,0.452158,-0.216249,0.044058,0.143622,0.080305,-0.120402,-0.267776,0.085734,87,343,17.65642,0.025953,82.396346,0.009155,18.559935,0.01715,23.622772
-0.026549,0.195757,0.402086,-0.174696,0.047053,0.142416,0.098208,-0.119038,-0.23044,0.081242,84,371,17.479449,0.028532,82.933099,0.011793,17.283103,0.01272,22.431488
-0.007651,0.173242,0.363889,-0.142727,0.04928,0.141937,0.111299,-0.1185,-0.201315,0.081785,91,373,17.375665,0.030132,83.428163,0.007115,16.687649,0.00832,21.234263
-0.583147,-0.581247,-0.469476,-0.53091,-0.425462,-0.314003,-0.097361,-0.185118,-0.395034,0.10334,132,754,21.323107,0.01175,71.577813,0.003981,32.933754,0.009063,30.583046
-0.559972,-0.572682,-0.454423,-0.499033,-0.406713,-0.300497,-0.071881,-0.178021,-0.387474,0.106605,135,470,20.887559,0.01466,72.246555,0.009272,32.016443,0.007285,30.768937
-0.501046,-0.550861,-0.422374,-0.42083,-0.355703,-0.272136,-0.007809,-0.152694,-0.36587,0.121644,108,470,19.90885,0.017213,74.718182,0.011053,29.996982,0.015331,28.734809
-0.470823,-0.539224,-0.39436,-0.373576,-0.334821,-0.246469,0.027987,-0.151399,-0.358655,0.094565,118,406,19.402078,0.01644,76.115708,None,28.035294,0.007174,27.521053
-0.440097,-0.527104,-0.36507,-0.3284,-0.31518,-0.220202,0.062087,-0.151582,-0.351157,0.095597,102,380,18.952994,0.020136,77.848767,0.011207,27.321253,0.004889,25.465135
-0.410285,-0.515036,-0.335628,-0.287718,-0.297974,-0.194373,0.092592,-0.153652,-0.343753,0.098869,109,376,18.589327,0.011365,78.961224,0.002946,25.715029,0.002344,24.790202
-0.381723,-0.503113,-0.306117,-0.251971,-0.283507,-0.169063,0.11911,-0.157866,-0.336611,0.103536,104,413,18.307758,0.020481,80.267611,0.014982,23.557769,0.003929,23.149412
-0.349739,-0.487193,-0.270204,-0.234177,-0.276051,-0.141988,0.131995,-0.170342,-0.326671,0.107795,110,380,18.083846,0.018577,80.834016,0.012796,22.281377,None,24.03
-0.310869,-0.4422,-0.197336,-0.242748,-0.269191,-0.103808,0.125347,-0.192512,-0.319787,0.122984,103,376,17.840998,0.029303,81.344776,0.012,21.705366,0.005535,23.675243
-0.268475,-0.329626,-0.045503,-0.287718,-0.249559,-0.046039,0.092575,-0.218977,-0.33012,0.094849,98,379,17.544762,0.028858,82.156477,0.002399,19.17,0.025003,24.313706
-0.24578,-0.320692,-0.016141,-0.26608,-0.246466,-0.020973,0.10682,-0.233598,-0.325242,0.094414,93,569,17.590693,0.032637,82.818462,0.002605,17.321675,0.003535,23.3867
-0.225859,-0.316351,0.00937,-0.243526,-0.246609,0.003548,0.12091,-0.250573,-0.321314,0.09094,91,340,17.715558,0.02056,82.317857,0.014373,17.275221,0.007455,24.537885
-0.207899,-0.315801,0.032373,-0.222316,-0.250822,0.028078,0.13309,-0.271178,-0.317866,0.088595,93,350,17.934896,0.038421,81.390148,0.030493,16.675962,0.003405,26.826761
-0.19228,-0.318684,0.052429,-0.202959,-0.258632,0.051881,0.143107,-0.294504,-0.314972,0.086146,95,420,18.247726,0.047422,79.486364,0.004916,18.68961,None,28.545064
-0.179914,-0.322743,0.06804,-0.187096,-0.266847,0.071816,0.150725,-0.315566,-0.312645,0.089711,103,393,18.571395,0.049531,78.296234,0.017313,19.810887,None,29.657312
-0.168701,-0.318885,0.076035,-0.174698,-0.264114,0.081946,0.156293,-0.320776,-0.306667,0.091095,108,371,18.666563,0.038447,78.263855,0.003331,19.803462,0.003605,29.061069
-0.14225,-0.287073,0.07365,-0.151726,-0.229601,0.083082,0.161084,-0.295159,-0.277264,0.090369,100,362,18.241632,0.048175,78.845455,0.029437,19.975424,0.011633,30.001255
-0.133319,-0.264306,0.071164,-0.146808,-0.198955,0.070895,0.16837,-0.260436,-0.26852,0.089297,93,414,17.83145,0.052292,80.888038,0.017708,18.575,0.007845,26.785321
-0.122232,-0.238876,0.069119,-0.139801,-0.164185,0.057779,0.177847,-0.221553,-0.258582,0.088226,80,345,17.460564,0.025947,83.087817,0.01864,16.248768,0.005249,22.644878
-0.109728,-0.214099,0.06838,-0.13074,-0.129576,0.045993,0.189049,-0.183719,-0.248646,0.084256,88,344,17.208376,0.031915,83.762234,0.019618,17.919895,0.005735,20.630052
