Overhang,Inclusion,Exclusion,Porosity,Volume,Surface Area,Compactness,Eccentricity,Total Blocks,Total Cost,Layer Diff Sum,Layer Diff Max
2740.80485297,0.815319559466,0.184680505537,0.494759938361,14968.0916531,6587.15391334,0.116443919593,1.86463743493,1146.65293902,3428.79314474,106.750007482,23.2983244612
2785.02109124,0.811665351357,0.188334648672,0.503264700762,14777.1021018,6692.37200509,0.105794288982,1.88642588174,1162.88298335,3484.77267123,104.369522673,23.3761272064
2835.11844513,0.808218877935,0.191781122061,0.511135648099,14711.1294043,6802.32644839,0.0974959159835,1.90670876225,1179.57588482,3543.51487687,102.109754437,23.4517931129
2812.62843194,0.802225847392,0.197774152608,0.526389422948,14355.3389879,6749.83979786,0.0933335604901,2.05825821842,1167.50194827,3521.35401435,101.940579234,25.0227598864
2746.87059294,0.805380093183,0.194619906817,0.51937394058,14474.4219169,6590.49642510,0.106181000008,2.07554894269,1141.38961137,3438.38406860,105.089942016,25.3996967096
2642.08317695,0.810515211158,0.189484788842,0.507920841884,14698.6794726,6334.90786025,0.12746845315,2.10275811686,1099.50876505,3305.39577524,110.192720885,26.0037542959
2540.82987424,0.815298793614,0.184701206386,0.497453752064,14843.2314822,6091.39614002,0.14622322604,2.12882796095,1059.61932273,3178.48438494,114.827366924,26.5493901654
2249.72241347,0.826492966437,0.173507033563,0.488025817519,13523.9767540,5384.02109092,0.157084965705,2.25127494909,936.354196227,2808.70645621,113.382429321,26.2428609361
2157.04884974,0.830357263317,0.169642736682,0.481097266571,13407.1166069,5169.97565280,0.167610576881,2.27554707168,901.079734798,2696.60156849,115.955952883,26.5050386097
2075.41557090,0.833607800415,0.166392199585,0.475162033701,13261.3032211,4989.34582164,0.175472619309,2.29218138910,871.862744687,2601.65321397,118.232191086,26.7098485251
2004.53089285,0.836676936653,0.163323063347,0.469144490356,13123.9130209,4837.27787259,0.181795323447,2.29634312693,847.842477030,2520.70646818,120.337403209,26.8062820561
1936.28868054,0.839486833779,0.160513166221,0.46331412302,12929.0314747,4705.52170398,0.185644851725,2.28891072382,828.212637659,2450.01155383,122.435894603,26.8308313381
1871.45644027,0.842621834946,0.157378165054,0.456034910679,12720.4845004,4594.83856164,0.187959880561,2.25758682926,813.399795493,2389.05589984,124.742841732,26.6780195938
1800.46812529,0.846300653873,0.153699346127,0.446616819185,12425.3112207,4500.97892803,0.187430494723,2.19156293345,803.963080805,2335.81510216,127.625882039,26.3036352431
1744.90457730,0.852150045955,0.147849954045,0.430281209872,12302.1385826,4451.00046293,0.188133075093,2.05370850659,804.160052071,2301.15709088,131.250975104,25.3313772050
1692.61231996,0.854966208197,0.145033791803,0.422277205765,12030.4607734,4406.72759301,0.185132634403,1.97891342584,803.339572946,2274.60074571,133.747437217,24.9065012131
1762.97402476,0.851301215339,0.148698784661,0.433401943499,12624.6240602,4398.59308498,0.198479856084,2.14052813855,788.555924746,2271.87162382,130.618114037,25.9537126692
1773.26009117,0.842219953918,0.157780046082,0.459822009805,12529.5100520,4304.92977288,0.20198275477,2.43412301413,759.212005086,2234.14143374,127.255795370,28.3713261446
1760.86827071,0.831634808117,0.168365191883,0.489132466418,12236.9395015,4192.90344279,0.202687393035,2.75233791643,728.486451886,2188.19039746,125.013254539,31.2576488142
1735.93373852,0.816882254064,0.183117745936,0.527213751285,11781.2700562,4074.41658080,0.201010805303,3.15164382984,696.602907282,2142.84588389,123.975074133,35.2706480687
1712.03078002,0.792677644792,0.207322355208,0.583827018009,11208.5232369,3993.65234429,0.196547200824,3.71744151536,670.478922514,2125.65028774,125.841994799,41.7524598558
1673.50953697,0.792476893919,0.207523106081,0.588472482323,10857.1192412,3886.59587884,0.194464925335,3.78122693934,649.529622705,2071.64793534,123.976258744,41.9336240062
1565.17048589,0.797177661051,0.202822338949,0.585931347769,10232.5482021,3609.14116031,0.195632804518,3.82793676214,599.750164424,1926.33170166,121.498847041,41.4719550401
1358.77139024,0.829355187804,0.170644812196,0.534983430885,8899.66145738,3074.96493704,0.189444073749,3.42482673443,510.827011843,1624.47072461,108.598989925,33.7138841263
1107.52822148,0.852675896241,0.147324103759,0.507332643737,6917.83925849,2454.50239458,0.174726444202,3.24244220302,403.432418198,1287.78318376,95.1712700830,28.2145075158
922.886011256,0.866598903797,0.133401096203,0.493887644426,5387.84539824,2006.40733194,0.162348136557,3.16920453782,325.146295927,1047.52834629,85.8276564050,24.9699166259
2902.03770744,0.821412978822,0.178650532792,0.476580757091,17623.5070120,6729.62403269,0.165187713245,1.79627091883,1158.86158121,3504.86294543,109.018788324,22.8243780470
2778.55821848,0.825275161716,0.17465436196,0.469067877107,17087.5485694,6531.20407264,0.165172326543,1.76970262125,1133.81893515,3399.73782403,111.806550674,22.7024525076
2769.55175303,0.823416906681,0.176535892485,0.473539950135,16881.4002377,6542.22905021,0.159438135991,1.78113752661,1137.73942868,3406.41657568,110.978260968,22.7692118315
2767.94247341,0.820929482139,0.179076008168,0.480200044213,16499.1027074,6572.24279873,0.149099325621,1.80381271688,1144.24185246,3423.08981998,109.626227783,22.9130133287
2730.23549595,0.820455864426,0.17954414291,0.481993034349,15786.8443236,6524.97267834,0.13751783636,1.81193361802,1137.34693354,3396.42391096,109.394316237,22.9460422694
2787.11099075,0.820377737669,0.179622261646,0.481657363898,17306.7628262,6609.72892584,0.161617999912,1.81041486318,1153.26802984,3447.02727097,109.861174417,23.0510506228
2807.46968528,0.817115220626,0.182884779373,0.489529404318,16828.7068570,6674.76458685,0.147679216426,1.83402748685,1163.07963299,3480.74306538,107.821643112,23.1511084749
2760.79395283,0.812590702837,0.187409297164,0.501610144282,17483.9622333,6533.54864185,0.168812509256,2.02603503524,1137.38607285,3417.36836469,110.557604307,25.3843079824
2727.62364643,0.814465433667,0.185534566335,0.497381066556,17633.9172540,6451.13234021,0.177168415202,2.03171330989,1124.11678037,3374.64262087,112.320562550,25.5581406910
2667.31154348,0.817935473964,0.182064526035,0.489530851976,17930.6320533,6299.48911128,0.192993283584,2.04269089148,1099.63159255,3296.12052269,115.595740475,25.8866191439
2597.58432088,0.821737433223,0.178262566778,0.481077413964,18191.5182696,6127.30164173,0.209360415335,2.05598634974,1071.75774730,3206.73006435,119.119177648,26.2427661842
2331.66015226,0.831646955739,0.168353044262,0.473960015041,16814.7709065,5482.99117318,0.215330982082,2.17109261310,958.917722831,2869.58562009,116.893715925,25.8624794544
2155.52477292,0.831721832832,0.168278167168,0.477760828998,13675.0509110,5149.01527594,0.174622644947,2.26763379024,897.377292566,2686.12287601,116.707023162,26.4698471465
2085.65120805,0.834891050427,0.165108949573,0.471744747667,13591.1226871,4988.24058993,0.182657243148,2.27956432223,871.116966323,2601.09103430,118.764634014,26.6148933393
2024.23437819,0.837816381839,0.162183618161,0.46592647234,13483.6320244,4850.30049648,0.188817888796,2.28315504921,848.807917453,2527.02208685,120.633248519,26.6826543818
1959.77879491,0.840060712181,0.159939287819,0.46156968713,13258.5364077,4725.10541833,0.191651626398,2.28529555912,829.788489635,2460.37306250,122.424731982,26.7779249354
1935.71501621,0.84429012474,0.15570987526,0.451146117577,13421.7272772,4648.78353071,0.200112018422,2.24116015383,817.655350506,2413.44686187,124.089346390,26.3521625953
1869.56362986,0.846024376987,0.153975623013,0.447343751561,13069.7735495,4551.66145406,0.198436912999,2.22497277644,805.479823893,2361.48981750,126.036345603,26.3664095359
1875.04582736,0.850390127606,0.149609872394,0.43554292302,13430.6160356,4531.64379175,0.20774181768,2.15602958323,802.657447804,2342.19282241,127.451737742,25.7096945325
1835.25845212,0.850108974452,0.149891025548,0.436844334299,13167.2283273,4466.63449260,0.206008396567,2.18055078886,793.002659794,2308.92016189,128.272937066,26.0256016384
1818.94818819,0.846720651439,0.153279348561,0.447031847711,13002.1869717,4398.70550915,0.206508238596,2.29954394962,777.212956203,2277.80854254,127.429201594,27.0530667869
1807.00973599,0.840620719242,0.159379280758,0.464723250655,12806.1553955,4312.97726641,0.207444951253,2.49785524354,754.980562530,2240.54975434,125.764238658,28.7680574766
1786.43979273,0.832245211039,0.167754788961,0.487997440356,12492.9046705,4210.22768932,0.207086571306,2.75124275238,728.934472763,2196.82261923,124.233938386,31.0958205354
1756.96680627,0.820779062167,0.179220937833,0.518087261094,12052.2803717,4099.35760455,0.204936972464,3.06832457465,701.076562096,2151.90723185,123.350339367,34.2470889938
1724.45838510,0.805065304121,0.194934695879,0.556582447194,11522.7073770,4001.94472147,0.200930406002,3.45968705789,675.475371659,2117.88004958,123.788909726,38.5041627010
1693.89550390,0.793432338135,0.206567661865,0.585047022083,11073.0655118,3924.60625464,0.197037103626,3.74724983228,656.271509859,2090.00437329,124.291909005,41.6635901538
1565.01904733,0.809132122735,0.190867877265,0.560229131983,10505.5814862,3582.45777307,0.201305864735,3.59928824934,598.064703134,1901.07277389,119.649558539,38.5057744013
